Provincias;Ramas de actividad;periodo;Total
10 Cáceres;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.362.215
10 Cáceres;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.119.364
10 Cáceres;Valor añadido bruto total;2020;6.571.744
10 Cáceres;Impuestos netos sobre los productos;2020;630.242
10 Cáceres;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;7.201.986
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;20.253.717
11 Cádiz;A. Agricultura, ganadería, silvicultura y pesca;2020;517.282
11 Cádiz;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.230.039
11 Cádiz;C. - De las cuales: Industria manufacturera;2020;1.325.381
11 Cádiz;F. Construcción;2020;1.285.220
11 Cádiz;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;3.915.656
11 Cádiz;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;4.504.009
11 Cádiz;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;6.029.118
11 Cádiz;Valor añadido bruto total;2020;18.481.324
11 Cádiz;Impuestos netos sobre los productos;2020;1.772.393
11 Cádiz;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;20.253.717
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
39 Cantabria;A. Agricultura, ganadería, silvicultura y pesca;2020;155.059
39 Cantabria;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;2.479.943
39 Cantabria;C. - De las cuales: Industria manufacturera;2020;2.001.452
39 Cantabria;F. Construcción;2020;810.175
39 Cantabria;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.319.072
39 Cantabria;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.940.643
39 Cantabria;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;3.022.731
39 Cantabria;Valor añadido bruto total;2020;11.727.623
39 Cantabria;Impuestos netos sobre los productos;2020;1.124.700
39 Cantabria;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;12.852.323
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.226.621
12 Castellón/Castelló;A. Agricultura, ganadería, silvicultura y pesca;2020;394.736
12 Castellón/Castelló;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;4.312.375
12 Castellón/Castelló;C. - De las cuales: Industria manufacturera;2020;3.975.218
12 Castellón/Castelló;F. Construcción;2020;749.752
12 Castellón/Castelló;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.492.836
12 Castellón/Castelló;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.600.229
12 Castellón/Castelló;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.431.729
12 Castellón/Castelló;Valor añadido bruto total;2020;12.981.657
12 Castellón/Castelló;Impuestos netos sobre los productos;2020;1.244.964
12 Castellón/Castelló;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;14.226.621
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.995.769
13 Ciudad Real;A. Agricultura, ganadería, silvicultura y pesca;2020;1.067.394
13 Ciudad Real;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.425.229
13 Ciudad Real;C. - De las cuales: Industria manufacturera;2020;1.184.306
13 Ciudad Real;F. Construcción;2020;635.088
13 Ciudad Real;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;1.764.264
13 Ciudad Real;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.655.507
13 Ciudad Real;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;2.573.562
13 Ciudad Real;Valor añadido bruto total;2020;9.121.044
13 Ciudad Real;Impuestos netos sobre los productos;2020;874.725
13 Ciudad Real;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.995.769
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.007.297
14 Córdoba;A. Agricultura, ganadería, silvicultura y pesca;2020;1.135.706
14 Córdoba;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;1.269.133
14 Córdoba;C. - De las cuales: Industria manufacturera;2020;1.011.867
14 Córdoba;F. Construcción;2020;689.441
14 Córdoba;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;2.262.007
14 Córdoba;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.665.513
14 Córdoba;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;3.847.235
14 Córdoba;Valor añadido bruto total;2020;11.869.035
14 Córdoba;Impuestos netos sobre los productos;2020;1.138.262
14 Córdoba;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;13.007.297
15 Coruña, A;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;25.361.458
15 Coruña, A;A. Agricultura, ganadería, silvicultura y pesca;2020;908.992
15 Coruña, A;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;3.628.728
15 Coruña, A;C. - De las cuales: Industria manufacturera;2020;2.355.242
15 Coruña, A;F. Construcción;2020;1.716.942
15 Coruña, A;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;2020;5.397.387
15 Coruña, A;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;5.371.364
