grupo_edad,origen,sexo,year,total,provincia_id
16-64 años,Españoles,Mujeres,2020,196708.0,23
16-64 años,Extranjeros,Hombres,2020,7188.0,23
16-64 años,Extranjeros,Mujeres,2020,6178.0,23
65 y más,Españoles,Hombres,2020,52876.0,23
65 y más,Españoles,Mujeres,2020,70269.0,23
65 y más,Extranjeros,Hombres,2020,369.0,23
65 y más,Extranjeros,Mujeres,2020,382.0,23
0-15 años,Españoles,Hombres,2020,24920.0,24
0-15 años,Españoles,Mujeres,2020,23546.0,24
0-15 años,Extranjeros,Hombres,2020,1540.0,24
0-15 años,Extranjeros,Mujeres,2020,1388.0,24
16-64 años,Españoles,Hombres,2020,133505.0,24
16-64 años,Españoles,Mujeres,2020,130098.0,24
16-64 años,Extranjeros,Hombres,2020,7831.0,24
16-64 años,Extranjeros,Mujeres,2020,8503.0,24
65 y más,Españoles,Hombres,2020,53632.0,24
65 y más,Españoles,Mujeres,2020,70393.0,24
65 y más,Extranjeros,Hombres,2020,476.0,24
65 y más,Extranjeros,Mujeres,2020,607.0,24
0-15 años,Españoles,Hombres,2020,28437.0,25
0-15 años,Españoles,Mujeres,2020,27246.0,25
0-15 años,Extranjeros,Hombres,2020,7428.0,25
0-15 años,Extranjeros,Mujeres,2020,6810.0,25
16-64 años,Españoles,Hombres,2020,112990.0,25
16-64 años,Españoles,Mujeres,2020,106669.0,25
16-64 años,Extranjeros,Hombres,2020,36665.0,25
16-64 años,Extranjeros,Mujeres,2020,27110.0,25
65 y más,Españoles,Hombres,2020,36992.0,25
65 y más,Españoles,Mujeres,2020,46350.0,25
65 y más,Extranjeros,Hombres,2020,811.0,25
65 y más,Extranjeros,Mujeres,2020,1009.0,25
0-15 años,Españoles,Hombres,2020,16811.0,27
0-15 años,Españoles,Mujeres,2020,16158.0,27
0-15 años,Extranjeros,Hombres,2020,1188.0,27
0-15 años,Extranjeros,Mujeres,2020,1183.0,27
16-64 años,Españoles,Hombres,2020,91988.0,27
16-64 años,Españoles,Mujeres,2020,91331.0,27
16-64 años,Extranjeros,Hombres,2020,6600.0,27
16-64 años,Extranjeros,Mujeres,2020,6468.0,27
65 y más,Españoles,Hombres,2020,41937.0,27
65 y más,Españoles,Mujeres,2020,53568.0,27
65 y más,Extranjeros,Hombres,2020,318.0,27
65 y más,Extranjeros,Mujeres,2020,396.0,27
0-15 años,Españoles,Hombres,2020,486075.0,28
0-15 años,Españoles,Mujeres,2020,460860.0,28
0-15 años,Extranjeros,Hombres,2020,70360.0,28
0-15 años,Extranjeros,Mujeres,2020,66970.0,28
16-64 años,Españoles,Hombres,2020,1819532.0,28
16-64 años,Españoles,Mujeres,2020,1887871.0,28
16-64 años,Extranjeros,Hombres,2020,365376.0,28
16-64 años,Extranjeros,Mujeres,2020,414106.0,28
65 y más,Españoles,Hombres,2020,487396.0,28
65 y más,Españoles,Mujeres,2020,682440.0,28
65 y más,Extranjeros,Hombres,2020,15054.0,28
65 y más,Extranjeros,Mujeres,2020,23848.0,28
0-15 años,Españoles,Hombres,2020,125153.0,29
0-15 años,Españoles,Mujeres,2020,118457.0,29
0-15 años,Extranjeros,Hombres,2020,17817.0,29
0-15 años,Extranjeros,Mujeres,2020,16807.0,29
16-64 años,Españoles,Hombres,2020,461337.0,29
16-64 años,Españoles,Mujeres,2020,464026.0,29
