categories,year,total,provincia_id,region_id
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13007297.0,14,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25361458.0,15,17
"A. Agricultura, ganadería, silvicultura y pesca",2020,908992.0,15,17
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3628728.0,15,17
C. - De las cuales: Industria manufacturera,2020,2355242.0,15,17
F. Construcción,2020,1716942.0,15,17
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,5397387.0,15,17
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,5371364.0,15,17
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,6118677.0,15,17
Valor añadido bruto total,2020,23142090.0,15,17
Impuestos netos sobre los productos,2020,2219368.0,15,17
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25361458.0,15,17
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4195214.0,16,7
"A. Agricultura, ganadería, silvicultura y pesca",2020,695451.0,16,7
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,433609.0,16,7
C. - De las cuales: Industria manufacturera,2020,254710.0,16,7
F. Construcción,2020,252164.0,16,7
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,898560.0,16,7
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,645053.0,16,7
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,903256.0,16,7
Valor añadido bruto total,2020,3828093.0,16,7
Impuestos netos sobre los productos,2020,367121.0,16,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4195214.0,16,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21835162.0,20,10
"A. Agricultura, ganadería, silvicultura y pesca",2020,96251.0,20,10
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,5176787.0,20,10
C. - De las cuales: Industria manufacturera,2020,4897711.0,20,10
F. Construcción,2020,1160660.0,20,10
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4277263.0,20,10
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4586643.0,20,10
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,4626774.0,20,10
Valor añadido bruto total,2020,19924378.0,20,10
Impuestos netos sobre los productos,2020,1910784.0,20,10
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,21835162.0,20,10
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19520752.0,17,9
"A. Agricultura, ganadería, silvicultura y pesca",2020,587367.0,17,9
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2471563.0,17,9
C. - De las cuales: Industria manufacturera,2020,2089661.0,17,9
F. Construcción,2020,1333140.0,17,9
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4718878.0,17,9
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4943076.0,17,9
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3758477.0,17,9
Valor añadido bruto total,2020,17812501.0,17,9
Impuestos netos sobre los productos,2020,1708251.0,17,9
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,19520752.0,17,9
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,15802260.0,18,4
"A. Agricultura, ganadería, silvicultura y pesca",2020,1058030.0,18,4
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1399420.0,18,4
C. - De las cuales: Industria manufacturera,2020,612214.0,18,4
F. Construcción,2020,947043.0,18,4
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2979032.0,18,4
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,3565696.0,18,4
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,4470191.0,18,4
Valor añadido bruto total,2020,14419412.0,18,4
Impuestos netos sobre los productos,2020,1382848.0,18,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,15802260.0,18,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,5047876.0,19,7
"A. Agricultura, ganadería, silvicultura y pesca",2020,208007.0,19,7
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1219830.0,19,7
C. - De las cuales: Industria manufacturera,2020,771768.0,19,7
F. Construcción,2020,267054.0,19,7
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,747142.0,19,7
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1044130.0,19,7
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,1119976.0,19,7
Valor añadido bruto total,2020,4606139.0,19,7
Impuestos netos sobre los productos,2020,441737.0,19,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,5047876.0,19,7
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9243502.0,21,4
"A. Agricultura, ganadería, silvicultura y pesca",2020,644247.0,21,4
"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1494167.0,21,4
C. - De las cuales: Industria manufacturera,2020,630072.0,21,4
F. Construcción,2020,468596.0,21,4
"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1545198.0,21,4
"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1949759.0,21,4
"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2332641.0,21,4
Valor añadido bruto total,2020,8434608.0,21,4
Impuestos netos sobre los productos,2020,808894.0,21,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9243502.0,21,4
PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,6277103.0,22,5
"A. Agricultura, ganadería, silvicultura y pesca",2020,1035363.0,22,5
